c1908_sarlock+libar_8k_unrolled.bench APPSAT Attack: Didn't Found Any Satisfiable Key; func_iteration= 1; func_exe_time= 0.12939119338989258; nonfunc_exe_time= 0
c432_cac+libar_16k_unrolled.bench APPSAT Attack: Didn't Found Any Satisfiable Key; func_iteration= 1; func_exe_time= 0.012050867080688477; nonfunc_exe_time= 0
c432_cac+libar_16k_unrolled.bench SWEEP Attack: Didn't Found Any Satisfiable Key; func_iteration= 15; func_exe_time= 0.6657717227935791; nonfunc_exe_time= 0
c432_cac+libar_16k_unrolled.bench SAT Attack: Didn't Found Any Satisfiable Key; func_iteration= 11; func_exe_time= 0.24505281448364258; nonfunc_exe_time= 0
c3540_sarlock+libar_32k_unrolled.bench APPSAT Attack: Didn't Found Any Satisfiable Key; func_iteration= 1; func_exe_time= 0.10467076301574707; nonfunc_exe_time= 0
c1355_antisat+libar_24k_unrolled.bench APPSAT Attack: Didn't Found Any Satisfiable Key; func_iteration= 2; func_exe_time= 0.2834906578063965; nonfunc_exe_time= 0
c1355_antisat+libar_24k_unrolled.bench SAT Attack: Didn't Found Any Satisfiable Key; func_iteration= 2; func_exe_time= 0.15141582489013672; nonfunc_exe_time= 0
c1908_antisat+libar_24k_unrolled.bench SAT Attack: Didn't Found Any Satisfiable Key; func_iteration= 1; func_exe_time= 0.02626323699951172; nonfunc_exe_time= 0
c432_sarlock+libar_32k_unrolled.bench SWEEP Attack: Didn't Found Any Satisfiable Key; func_iteration= 6; func_exe_time= 0.1880629062652588; nonfunc_exe_time= 0
c1355_cac+libar_24k_unrolled.bench SAT Attack: Didn't Found Any Satisfiable Key; func_iteration= 2; func_exe_time= 0.08023619651794434; nonfunc_exe_time= 0
c432_sarlock+libar_32k_unrolled.bench APPSAT Attack: Didn't Found Any Satisfiable Key; func_iteration= 3; func_exe_time= 0.2207627296447754; nonfunc_exe_time= 0
c432_sarlock+libar_32k_unrolled.bench SAT Attack: Didn't Found Any Satisfiable Key; func_iteration= 1; func_exe_time= 0.006607532501220703; nonfunc_exe_time= 0
c1908_antisat+libar_24k_unrolled.bench APPSAT Attack: Didn't Found Any Satisfiable Key; func_iteration= 1; func_exe_time= 0.10625481605529785; nonfunc_exe_time= 0
c1908_antisat+libar_16k_unrolled.bench APPSAT Attack: Didn't Found Any Satisfiable Key; func_iteration= 1; func_exe_time= 0.14038515090942383; nonfunc_exe_time= 0
c432_antisat+libar_32k_unrolled.bench SWEEP Attack: Didn't Found Any Satisfiable Key; func_iteration= 9; func_exe_time= 0.3779428005218506; nonfunc_exe_time= 0
c1355_antisat+libar_32k_unrolled.bench SAT Attack: Didn't Found Any Satisfiable Key; func_iteration= 3; func_exe_time= 0.11932611465454102; nonfunc_exe_time= 0
c1908_antisat+libar_16k_unrolled.bench SAT Attack: Didn't Found Any Satisfiable Key; func_iteration= 1; func_exe_time= 0.03752017021179199; nonfunc_exe_time= 0
c432_antisat+libar_32k_unrolled.bench SAT Attack: Didn't Found Any Satisfiable Key; func_iteration= 20; func_exe_time= 0.38134026527404785; nonfunc_exe_time= 0
c432_antisat+libar_32k_unrolled.bench APPSAT Attack: Didn't Found Any Satisfiable Key; func_iteration= 8; func_exe_time= 0.5225563049316406; nonfunc_exe_time= 0
